,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,File Name,Profile Name,Profile Version,Valid,Minimum,Recommended,Optional
0,0.0,0.0,0.0,profileLive/www.ebi.ac.uk/1_ii.jsonld,DataRecord,0.2-DRAFT-2019_06_14.json,False,"Missing: None
Implemented: None
Error: None","Missing: None
Implemented: None
Error: None","Missing: None
Implemented: None
Error: None"
1,1.0,1.0,,profileLive/www.ebi.ac.uk/1_ii.jsonld,DataRecord,0.2-DRAFT-2019_06_14.json,False,"Missing: None
Implemented: None
Error: None","Missing: None
Implemented: None
Error: None","Missing: None
Implemented: None
Error: None"
2,2.0,,,profileLive/www.ebi.ac.uk/1_ii.jsonld,DataRecord,0.2-DRAFT-2019_06_14.json,False,"Missing: None
Implemented: None
Error: None","Missing: None
Implemented: None
Error: None","Missing: None
Implemented: None
Error: None"
3,,,,profileLive/www.ebi.ac.uk/1_ii.jsonld,DataRecord,0.2-DRAFT-2019_06_14.json,False,"Missing: None
Implemented: None
Error: None","Missing: None
Implemented: None
Error: None","Missing: None
Implemented: None
Error: None"
